Scoop
Mad Dog
The Gentle
The Machine
The Creator
The Flash
The Courteous
The Horrific
The Angry
The Bold
The Maniac
The Brilliant
The Plain
The Brute
The Smiling
The Titan
The Gracious
The Drunk
The Order
The Butcher
The Magnificent 
The Fierce
The Adamant
The Daring
The Heartbreaker
The Gentle
The Dreamer
The Demon
The North
Of the South
Of the East
Of the North
Of the West
The Prodigy
The Shadowed
The Deceiver
The Tormentor
The Cursed
The Ebon
The Desolate
The Infernal
The Malevolent
The Soul-Stealer
The Abyssal
The Doombringer
The Vile
The Fiery
The Whisperer
The Devourer
The Unholy
The Temptress
The Bloodthirsty
The Forsaken
The Corruptor
The Betrayer
The Plaguebringer
The Enslaver
The Maleficent
The Dreaded
The Blackened
The Harbinger
The Defiler
The Soul-Eater
The Depraved
The Brimstone
The Malignant
The Forsworn
The Eviscerator
The Corrosive
The Wretched
The Venomous
The Incinerator
The Malefic
The Deceptive
The Shapeshifter
The Pestilent
The Harrowing
The Seductress
The Demolisher
The Torturer
The Blasphemous
The Serpent
The Soul-Render
The Abominable
The Aberrant
The Insidious
The Vortex
The Malevolence
The Bloodbinder
The Obsidian
The Betrayer
The Invidious
The Nightshade
The Harsh
The Despoiler
The Foul
The Slaughterer
The Soul-Hunter
The Ebonblade
The Blightbearer
The Baneful
The Voidwalker
The Tenebrous
The Maligned
The Envenomed
The Sinister
The Netherfiend
The Maleficent
The Devouress
The Banebringer
The Tempest
The Pestilence
The Desolation
The Annihilator
The Chaosbringer
The Ravager
The Grim
The Nightshade
The Voidweaver
The Betrayer
The Cursed
The Shadowlord
The Defiler
The Blasphemous
The Inferno
The Abhorrent
The Malefactor
The Blackflame
The Scourge
The Plaguebearer
The Malevolence
The Banshee
The Obsidian
The Desecrator
